Year,outside,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,snails_sea_stars,herb_echinoderms,misc_crabs,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton,discards_offal,pelagic_detritus,benthic_detritus
1997,0,0,0,0,0,0,0,0,41.4,0,0,0,0,0,0,0,368,0,1124595.59,0,232600.82,26240.3186,0,9228.52,0,0,6435.44,0,4708.86912,182812.78,20656.93,67553.5,0,0,16890,551.62,0,0,680.71,150.64,164,36,15,176.66,0,0,0,1378.29,0,0,0,0,0,0,1637,6961.277278,120960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,46.74,0,0,0,0,0,0,0,497,0,1102167.45,0,158529.24,26116.94148,0,14595.56,0,0,8075.04,0,4782.904,101150.44,24368.37,33202.86,0,0,18189,562.87,0,0,956.25,188.25,45,52,16,820.3,0,0,0,553.17,0,0,0,0,0,0,996,9414.837289,93310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,35.79,0,0,0,0,0,0,0,530,0,989709.47,0,145867.23,23570.47391,0,10595.79,0,0,5385.78,0,5467.70752,69221.1,18539.87,40509.45,0,0,13277,675.04,0,0,421.03,141.13,157,66,9,2305.85,0,315,0,432.19,0,0,0,0,0,0,550,5676.585837,16090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,590,0,1132739.24,0,151375.79,21643.61353,0,12072.65,0,0,5888.37,0,5404.45312,84057.85,20360.3,49187.43,0,0,17068,741.9,0,0,451.27,238.76,97,130,26,239.28,0,276,0,375.58,0,0,0,0,0,0,701,4050.564661,12490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0,0,0,764,0,1387455.43,0,142542.04,23194.89943,0,12837.82,0,0,4252.59,0,5256.48032,63563.77,17757.23,28950.16,0,0,18061,863.83,0,0,896.14,296.36,180,57,15,263.64,0,203,0,1760.51,0,0,0,0,0,0,1106,4283.580241,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,25.53,0,0,0,0,0,0,0,1362,0,1481818.34,0,166554.98,19215.07998,0,10822.71,0,0,3150.64,0,5034.191787,74957.21,15463.78,40701.38,12176.14,2592.08,20583,1143.75,0,0,639.36,401.33,113.56,93,12,572.1,0,2715,0,1334.04,0,0,0,0,0,0,625,4648.494,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,19.62,0,0,0,0,0,0,0,589,0,1490803.588,0,175443.331,21796.92775,0,12278.492,0,0,2411.936,0,4698.279893,79805.905,13736.89,35109.079,9856.825,2836.942,20474,1011.561,203,2869,1144.769,314.586,67.305,105,17,5072.092,3858,5152,0,808.224,0,0,0,0,0,19,374,7718.362,11890,1,1,4031.46808,81.64237,170.31396,2248,14,6706,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,18.48,0,0,0,0,0,0,0,515,0,1480551.698,0,183747.979,19000.98438,0,17365.168,0,0,1824.826,0,4462.65152,75502.068,17360.553,47862.447,7888.286,4755.024,21445,1040.75,96,2223,731.131,318.172,116.425,118.234,22.753,7158.827,543,5087,0,999.976,0,0,0,5,0,27,593,7439.916,12430,2,1,3223.9883,60.99062,107.27043,2205,20,7927,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,417,0,1483021.827,0,182939.814,22250.52012,0,13408.722,0,0,2140.15,0,5191.06688,94382.853,16074.346,36813.973,11194.102,4566.165,22388,1070.032,88,2633,879.163,178.079,111.823,107.85,11.583,3539.586,612,4958,0,1169.746,0,0,1,0,0,14,1370.2,8987.34,18330,1,1,2869.07035,57.30717,126.17202,1268,10,6111,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,18.24,0,0,0,0,0,0,0,689,0,1488031.057,0,168817.513,22494.55281,0,11966.769,0,0,1452.534,0,4822.80288,99155.992,17942.47,35877.504,17317.7,3123.404,19283,1078.358,58,2068,1040.754,157.028,246.076,46.957,6.823,3164.412,676,4820,0,1403.45,0,0,10,3,0,101,2239.8,7378.824,18690,2,4,2836.3826,40.14613,74.71404,866,6,2907,0,0,0,0,0,0,0,0,0,0
