tstep,year_vector,month_vector,arrowtooth_juv,arrowtooth_adu,atka,fh_sole,gr_turbot_juv,gr_turbot_adu,kamchatka,north_rockfish,octopus,oth_flatfish,oth_rockfish,pcod_juv,pcod_adu,ak_plaice,pac_ocean_perch,pollock_juv,pollock_adu,nr_sole,rougheye_rock,sablefish,sharks,shortraker_rock,skates,yf_sole,herring,halibut_juv,halibut_adu,lg_sculpins,squids,capelin,sandlance
24,1971,12,1.028533064,0.967615184,0.942008341,0.942008341,0.901469171,0.940554922,0.914858519,0.98313474,1.059854009,1.072513126,0.92411839,0.914598547,0.936519688,0.975186772,0.899638996,0.880997516,0.93233575,0.937705875,0.914423805,0.987209369,0.990773425,1.003001568,1.003001568,0.907669849,0.885362813,0.826406493,0.789695616,0.971158202,0.905776967,0.946225632,0.882798405
25,1972,1,0.927740145,0.872792021,0.884381017,0.884381017,0.844277207,0.880883238,0.857355426,0.93707967,0.993028701,0.991617915,0.852085667,0.832453219,0.852405497,0.92350183,0.844603615,0.813523961,0.860930319,0.858786292,0.858483964,0.901541019,0.928323215,0.941642986,0.941642986,0.852143181,0.829713662,0.752008913,0.718602948,0.925917125,0.843286674,0.888340316,0.826055337
26,1972,2,0.839094357,0.789396539,0.831861073,0.831861073,0.792297311,0.826649606,0.805055575,0.894322709,0.932264634,0.919128061,0.787725752,0.758460599,0.776639418,0.875912246,0.794445896,0.751225076,0.795001101,0.787297498,0.807501945,0.825121229,0.871536064,0.885722477,0.885722477,0.801537717,0.779099996,0.685226728,0.65478738,0.883900591,0.786866006,0.835585244,0.774535168
27,1972,3,0.800227712,0.752831885,0.808219564,0.808219564,0.76894447,0.802284237,0.781547138,0.874826696,0.904956197,0.88688806,0.75916152,0.725515183,0.742904365,0.854335469,0.771867727,0.72303671,0.765170119,0.755335228,0.784552723,0.791275584,0.846014492,0.860550226,0.860550226,0.778757998,0.756349488,0.655558723,0.626437297,0.864737458,0.761637193,0.811837894,0.75140535
28,1972,4,0.785344306,0.738829992,0.799058703,0.799058703,0.759903197,0.792850953,0.77244361,0.867229809,0.894381921,0.874461396,0.748161833,0.71281928,0.729904166,0.845948382,0.763118901,0.712100936,0.753597085,0.742995356,0.775660117,0.778257498,0.836132047,0.850796217,0.850796217,0.769931073,0.747539465,0.644136353,0.615522335,0.857269489,0.751889819,0.802636021,0.742453221
29,1972,5,0.817407369,0.768994026,0.818718662,0.818718662,0.779311836,0.813101109,0.791984501,0.883504159,0.91708034,0.901175486,0.771815329,0.740114941,0.757854051,0.863929643,0.7818946,0.735562215,0.778425521,0.769509725,0.794744379,0.806262319,0.857345353,0.87172912,0.87172912,0.788874378,0.766450343,0.668701169,0.638995925,0.873267121,0.772828144,0.822383996,0.761672425
30,1972,6,0.888442832,0.835822206,0.861326969,0.861326969,0.82144319,0.857059187,0.834385286,0.918404238,0.966339348,0.959651506,0.823681821,0.799850666,0.819021524,0.90266973,0.822586485,0.786247777,0.832064675,0.827335858,0.836105001,0.86779278,0.9033808,0.917096233,0.917096233,0.82992951,0.807484096,0.722557153,0.690459502,0.907566869,0.818457312,0.865183057,0.803417108
31,1972,7,0.96148447,0.904537739,0.90390583,0.90390583,0.863636276,0.901081674,0.876824544,0.952783536,1.015652247,1.018868416,0.876326576,0.860192782,0.880809924,0.941075059,0.863250248,0.83651209,0.885258032,0.885487231,0.877437038,0.930361932,0.949465754,0.962431993,0.962431993,0.870956267,0.848555081,0.777101154,0.742580534,0.941345393,0.864391418,0.90795254,0.845255868
32,1972,8,1.024770446,0.964075419,0.939893349,0.939893349,0.899367292,0.938361909,0.912745949,0.981460178,1.057398667,1.069519357,0.921448793,0.91157072,0.93341929,0.973299581,0.897619132,0.878543139,0.92973835,0.93480487,0.912370746,0.984033609,0.988478863,1.000749635,1.000749635,0.905631954,0.883318354,0.823659275,0.787070435,0.969513546,0.903472854,0.944101172,0.880711988
33,1972,9,1.069443183,1.006102282,0.964834943,0.964834943,0.924168047,0.964237971,0.937669269,1.001132047,1.086367281,1.104943807,0.95305569,0.947323336,0.970028826,0.995508052,0.921438911,0.907359731,0.960234166,0.96902242,0.936581983,1.021631052,1.015550433,1.027306149,1.027306149,0.929664366,0.907438128,0.856123207,0.818092245,0.988832577,0.930695936,0.969154427,0.905335282
34,1972,10,1.106423125,1.040891979,0.985211859,0.985211859,0.944452183,0.985401584,0.958047874,1.017080754,1.110055778,1.134078623,0.979080335,0.976592973,1,1.013576467,0.94089932,0.93067771,0.984910951,0.996975086,0.956362208,1.052579233,1.037687452,1.049002431,1.049002431,0.949298494,0.927159712,0.882741077,0.843527688,1.004492738,0.953019628,0.989622569,0.925482316
35,1972,11,1.132159317,1.065103869,0.999255949,0.999255949,0.958443946,1,0.972101794,1.028008479,1.126393506,1.15425983,0.997122561,0.996787143,1.020678184,1.025990039,0.95431174,0.946617894,1.001780015,1.016229506,0.969995049,1.074026248,1.052955031,1.063955849,1.063955849,0.962830643,0.940760524,0.9011272,0.861097058,1.015221433,0.968448667,1.003729533,0.939383695
36,1972,12,1.068143074,1.004879176,0.964114194,0.964114194,0.923450946,0.963489778,0.936948733,1.000565904,1.085529753,1.103916467,0.952138503,0.946288901,0.968969598,0.994867714,0.920750579,0.906531083,0.959357231,0.968033544,0.935882339,1.020540147,1.014767756,1.026538733,1.026538733,0.92896989,0.906740823,0.855183161,0.817193958,0.988276635,0.92990769,0.968430451,0.90462316
37,1973,1,0.907337653,0.853597926,0.872455459,0.872455459,0.832462164,0.86855592,0.845470808,0.927437173,0.979219449,0.975053647,0.83736306,0.815566356,0.835113889,0.912736853,0.833214442,0.799430462,0.846015552,0.842505583,0.846907619,0.884044675,0.915417872,0.928945272,0.928945272,0.840652339,0.818212212,0.736748788,0.704020713,0.916442869,0.830430524,0.876361369,0.814340406
38,1973,2,0.843284257,0.79333828,0.834386221,0.834386221,0.794793314,0.829253831,0.807567769,0.896395838,0.93518308,0.922586054,0.790791724,0.761994026,0.780257535,0.878211127,0.796857469,0.754231992,0.798183239,0.790720518,0.80995315,0.828757164,0.874263532,0.888411123,0.888411123,0.803970817,0.781531195,0.688411041,0.657830239,0.885938149,0.789566931,0.838121697,0.777007945
