tstep,year_vector,month_vector,arrowtooth_juv,arrowtooth_adu,atka,fh_sole,gr_turbot_juv,gr_turbot_adu,kamchatka,north_rockfish,octopus,oth_flatfish,oth_rockfish,pcod_juv,pcod_adu,ak_plaice,pac_ocean_perch,pollock_juv,pollock_adu,nr_sole,rougheye_rock,sablefish,sharks,shortraker_rock,skates,yf_sole,herring,halibut_juv,halibut_adu,lg_sculpins,squids,capelin,sandlance
24,1971,12,0.979786936,0.992526764,0.968976974,0.968976974,0.961636683,0.971403809,0.963977759,0.974047127,0.999829083,0.988027872,0.985846201,0.996107644,0.993509822,0.973534115,0.95627237,0.97650663,0.981845673,0.989403725,0.96076024,0.986959132,0.983408797,0.986496276,0.986496276,0.958717643,0.95608589,1.006905097,1.010616548,0.965452297,0.972713698,0.970216135,0.958863188
25,1972,1,1.001502887,1.014525081,0.951606602,0.951606602,0.946684986,0.956300251,0.948393794,0.942204447,0.983872145,0.985271911,0.985784928,1.009033527,1.006401995,0.947828732,0.939129748,0.975008013,0.980338862,0.996055936,0.943537166,0.996441026,0.967693627,0.968811845,0.968811845,0.941531186,0.940629508,1.020206123,1.023966602,0.933635462,0.963295919,0.95282355,0.944795243
26,1972,2,1.023413326,1.036720414,0.935038234,0.935038234,0.932364406,0.94183422,0.93348438,0.912453454,0.968600233,0.982443884,0.985538746,1.023565695,1.020896263,0.923613654,0.922778614,0.975869558,0.981205117,1.004183943,0.927109294,1.006242471,0.952653663,0.951943917,0.951943917,0.92513824,0.925842153,1.034808368,1.038622671,0.903918645,0.954151829,0.936233993,0.93129873
27,1972,3,1.034013291,1.047458206,0.92731792,0.92731792,0.925671152,0.935072984,0.926521668,0.898795297,0.961466286,0.981053769,0.985354264,1.031050842,1.028361889,0.912431659,0.915159524,0.97696575,0.982307302,1.008533304,0.919454447,1.011044985,0.945628259,0.944084018,0.944084018,0.917499668,0.918936443,1.042222552,1.046064183,0.890279426,0.949834559,0.928503807,0.924982912
28,1972,4,1.038253135,1.05175318,0.924278749,0.924278749,0.923032682,0.932407716,0.923777999,0.893454137,0.958654797,0.980493276,0.985268686,1.034119652,1.031422696,0.908047488,0.912160201,0.977511269,0.982855804,1.010339954,0.916441048,1.012974642,0.94285958,0.940989898,0.940989898,0.914492675,0.916215236,1.04524452,1.04909729,0.884946232,0.948124893,0.925460749,0.922491852
29,1972,5,1.029246131,1.04262906,0.930767917,0.930767917,0.928663803,0.938096031,0.92963434,0.904882738,0.964655664,0.981680881,0.985442458,1.027650643,1.024970557,0.917420605,0.918564286,0.976423802,0.981762392,1.006546759,0.922875188,1.00888105,0.948769095,0.947596391,0.947596391,0.920913136,0.922023633,1.038862494,1.04269174,0.896358173,0.951768364,0.931958215,0.927807422
30,1972,6,1.010855051,1.023998847,0.944427513,0.944427513,0.940487091,0.950039405,0.941939013,0.929239375,0.977261118,0.984071682,0.985702301,1.015070814,1.012423537,0.937299896,0.932044787,0.975121924,0.980453395,0.999371136,0.936418954,1.000600873,0.961182939,0.961502956,0.961502956,0.934428108,0.93422757,1.026309922,1.030092899,0.920684094,0.959353673,0.94563528,0.938956735
31,1972,7,0.993888499,1.006811685,0.957579973,0.957579973,0.951833666,0.961501225,0.95375821,0.95307879,0.989365622,0.986242582,0.985827286,1.004317483,1.00169825,0.95663166,0.9450248,0.975231442,0.980563512,0.993545846,0.949459883,0.993085276,0.973103804,0.974893214,0.974893214,0.947441311,0.945950006,1.015394352,1.019137094,0.944499729,0.966553494,0.958804559,0.94964225
32,1972,8,0.980544538,0.993294217,0.968352868,0.968352868,0.961100552,0.970862233,0.963418655,0.972891354,0.999256699,0.987932285,0.985847159,0.996530116,0.993931193,0.972604904,0.955656448,0.976406819,0.981745315,0.989608066,0.960141427,0.987284961,0.982845076,0.985860886,0.985860886,0.958100146,0.955531363,1.007346037,1.011059114,0.964297267,0.972378194,0.969591232,0.958359149
33,1972,9,0.971789831,0.984425676,0.975652914,0.975652914,0.967366663,0.977191987,0.969954657,0.9864653,1.005947463,0.989035283,0.985822364,0.99178768,0.989201125,0.983499999,0.96286078,0.97780115,0.98314727,0.987384982,0.96737957,0.983545642,0.989434631,0.993292918,0.993292918,0.9653229,0.962013857,1.002365604,1.006060322,0.977863421,0.976289574,0.976900613,0.964248351
34,1972,10,0.96491934,0.977465851,0.981524011,0.981524011,0.972398499,0.98227493,0.975205389,0.9974702,1.011321789,0.989899265,0.985781823,0.988292589,0.985715148,0.992304159,0.968654899,0.979293611,0.984647891,0.985866764,0.973200881,0.98065443,0.994727734,0.999270166,0.999270166,0.971131835,0.967221602,0.998645335,1.002326341,0.988863517,0.97941514,0.982779218,0.968974649
